,team,x,y,segment,name,location
0,angels,147.568125776129,179.161874223871,infield_inner,Angel Stadium of Anaheim,"Anaheim, CA"
1,angels,144.993615459429,181.73638454057098,infield_inner,Angel Stadium of Anaheim,"Anaheim, CA"
2,angels,142.41910514273002,184.31089485727,infield_inner,Angel Stadium of Anaheim,"Anaheim, CA"
3,angels,139.844594826031,186.885405173969,infield_inner,Angel Stadium of Anaheim,"Anaheim, CA"
4,angels,137.270084509332,189.45991549066798,infield_inner,Angel Stadium of Anaheim,"Anaheim, CA"
5,angels,134.695574192633,192.03442580736697,infield_inner,Angel Stadium of Anaheim,"Anaheim, CA"
6,angels,132.121063875934,194.60893612406602,infield_inner,Angel Stadium of Anaheim,"Anaheim, CA"
7,angels,129.546553559235,197.183446440765,infield_inner,Angel Stadium of Anaheim,"Anaheim, CA"
8,angels,126.27286866089399,198.07,infield_inner,Angel Stadium of Anaheim,"Anaheim, CA"
9,angels,122.63196125454901,198.07,infield_inner,Angel Stadium of Anaheim,"Anaheim, CA"
10,angels,119.77277007744301,196.182770077443,infield_inner,Angel Stadium of Anaheim,"Anaheim, CA"
11,angels,117.198259760744,193.608259760744,infield_inner,Angel Stadium of Anaheim,"Anaheim, CA"
12,angels,114.62374944404499,191.033749444045,infield_inner,Angel Stadium of Anaheim,"Anaheim, CA"
13,angels,112.049239127346,188.459239127346,infield_inner,Angel Stadium of Anaheim,"Anaheim, CA"
14,angels,109.474728810647,185.884728810647,infield_inner,Angel Stadium of Anaheim,"Anaheim, CA"
15,angels,106.900218493947,183.310218493947,infield_inner,Angel Stadium of Anaheim,"Anaheim, CA"
16,angels,104.325708177248,180.735708177248,infield_inner,Angel Stadium of Anaheim,"Anaheim, CA"
17,angels,101.751197860549,178.161197860549,infield_inner,Angel Stadium of Anaheim,"Anaheim, CA"
18,angels,104.30331245615,175.58668754385,infield_inner,Angel Stadium of Anaheim,"Anaheim, CA"
19,angels,105.906935411424,173.070258076642,infield_inner,Angel Stadium of Anaheim,"Anaheim, CA"
20,angels,106.12437428512,169.38562571488,infield_inner,Angel Stadium of Anaheim,"Anaheim, CA"
